sequenceID,llambda,total_labels,err
1.1,1.0,1,1
1.11,0.5,1,0
1.15,0.5,1,0
1.6,0.5,1,0
1.9,0.5,1,0
106.11,0.5,1,0
106.17,0.5,1,0
106.5,0.5,1,1
106.6,0.5,1,1
106.9,0.5,1,0
109.2,1.0,1,1
109.8,1.0,1,0
11.1,1.0,1,0
11.4,0.5,1,0
12.1,1.0,1,1
12.11,0.5,1,0
12.17,0.5,1,0
12.2,1.0,1,1
12.6,0.5,1,0
12.X,0.5,2,1
128.12,0.5,1,1
128.17,0.5,1,0
128.2,0.5,1,1
128.3,0.5,1,0
128.6,0.5,1,1
138.1,1.0,1,1
139.3,0.5,1,1
139.4,0.5,1,1
139.7,0.5,1,0
145.1,1.0,1,0
145.17,0.5,1,0
145.19,0.5,1,1
145.2,0.5,1,0
145.3,0.5,1,0
145.4,0.5,1,1
145.6,0.5,1,0
145.7,0.5,1,0
149.1,1.0,1,1
149.11,0.5,1,0
149.2,1.0,1,0
149.6,0.5,1,0
153.11,0.5,1,0
153.17,0.5,1,1
153.18,0.5,1,1
153.2,0.5,1,0
153.4,0.5,1,1
153.7,0.5,1,1
162.1,1.0,1,1
162.11,0.5,1,0
162.17,0.5,1,0
162.19,0.5,1,1
162.22,0.5,1,0
162.3,0.5,2,0
162.5,0.5,1,0
162.7,0.5,1,1
162.8,0.5,1,0
17.1,1.0,1,1
17.11,0.5,2,1
172.1,1.0,1,1
172.17,0.5,1,1
172.3,0.5,1,1
172.4,0.5,1,1
173.11,0.5,1,1
173.15,0.5,1,1
173.16,0.5,1,1
173.19,0.5,1,0
173.4,0.5,1,0
173.8,0.5,1,1
188.1,1.0,1,0
188.2,1.0,1,0
188.3,0.5,1,0
188.6,0.5,1,0
188.9,0.5,1,0
189.1,1.0,1,1
189.11,0.5,1,0
189.15,0.5,1,1
189.17,0.5,1,0
189.18,0.5,1,1
189.2,1.0,1,1
189.20,0.5,1,1
189.3,1.0,1,0
189.5,1.0,1,1
189.X,0.5,1,0
2.1,1.0,1,0
2.19,0.5,1,0
20003.2,1.0,2,0
20005.2,1.0,4,0
20005.3,1.0,3,2
20033.11,1.0,2,0
20052.3,1.0,1,1
20082.22,1.0,2,0
20090.20,1.0,1,0
20092.19,1.0,1,0
20105.22,1.0,1,1
20108.20,1.0,2,1
20109.20,1.0,1,0
20118.2,1.0,4,0
20119.2,1.0,2,0
20121.14,1.0,2,1
20121.7,1.0,2,2
20124.1,1.0,1,1
20124.16,1.0,1,1
20124.2,1.0,1,0
20124.3,1.0,1,0
20129.20,1.0,1,0
20133.X,1.0,3,1
20134.X,1.0,3,2
